BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area
667441 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=631&street=E%2015TH%20AVENUE;631;E 15TH AVENUE;2;12;"{""type"": ""Point"", ""coordinates"": [-123.09023606, 49.25740256]}";Mount Pleasant
Nhung Thi Dinh & Thi T Dinh;http://app.vancouver.ca/RPS_Net/Default.aspx?num=657&street=E%2015TH%20AVENUE;657;E 15TH AVENUE;1;8;"{""type"": ""Point"", ""coordinates"": [-123.08967635, 49.25734985]}";Mount Pleasant
Yueko Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=210&street=E%2016TH%20AVENUE;210;E 16TH AVENUE;1;10;"{""type"": ""Point"", ""coordinates"": [-123.10052349, 49.25632539]}";Riley Park
Alfred Dyck;http://app.vancouver.ca/RPS_Net/Default.aspx?num=137&street=E%2016TH%20AVENUE;137;E 16TH AVENUE;1;8;"{""type"": ""Point"", ""coordinates"": [-123.10214692, 49.25686634]}";Mount Pleasant
East 16th Avenue Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=223&street=E%2016TH%20AVENUE;223;E 16TH AVENUE;1;23;"{""type"": ""Point"", ""coordinates"": [-123.10011655, 49.25684207]}";Mount Pleasant
Mighty Atom Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=199&street=E%2017TH%20AVENUE;199;E 17TH AVENUE;7;8;"{""type"": ""Point"", ""coordinates"": [-123.1017011, 49.25587369]}";Riley Park
Carmen Chan Liu (Carmen Liu);http://app.vancouver.ca/RPS_Net/Default.aspx?num=707&street=E%2028TH%20AVENUE;707;E 28TH AVENUE;1;10;"{""type"": ""Point"", ""coordinates"": [-123.0898304, 49.24572921]}";Kensington-Cedar Cottage
Little Mtn Residential Care & Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=330&street=E%2036TH%20AVENUE;330;E 36TH AVENUE;2;117;"{""type"": ""Point"", ""coordinates"": [-123.09992871, 49.23764129]}";Riley Park
Hardip Pawa & Surinder Pawa;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2001&street=E%2036TH%20AVENUE;2001;E 36TH AVENUE;3;8;"{""type"": ""Point"", ""coordinates"": [-123.06502751, 49.23766833]}";Kensington-Cedar Cottage
Brightside Community Homes Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1602&street=E%2041ST%20AVENUE;1602;E 41ST AVENUE;1;15;"{""type"": ""Point"", ""coordinates"": [-123.07256746, 49.23238482]}";Victoria-Fraserview
Lam & Son Investment Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=686&street=E%2043RD%20AVENUE;686;E 43RD AVENUE;4;6;"{""type"": ""Point"", ""coordinates"": [-123.09101847, 49.23085789]}";Sunset
Regina Chopra;http://app.vancouver.ca/RPS_Net/Default.aspx?num=625&street=E%2044TH%20AVENUE;625;E 44TH AVENUE;1;6;"{""type"": ""Point"", ""coordinates"": [-123.09209728, 49.23037307]}";Sunset
Michelle's Import Plus Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=206&street=E%2049TH%20AVENUE;206;E 49TH AVENUE;6;15;"{""type"": ""Point"", ""coordinates"": [-123.10124557, 49.2254594]}";Sunset
Alpha Partner Global Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1533&street=E%20BROADWAY;1533;E BROADWAY;1;12;"{""type"": ""Point"", ""coordinates"": [-123.0730316, 49.26264074]}";Grandview-Woodland
Gordon Block Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=833&street=E%20BROADWAY;833;E BROADWAY;1;11;"{""type"": ""Point"", ""coordinates"": [-123.08642837, 49.26274833]}";Mount Pleasant
Cameo Concepts Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=E%20BROADWAY;1209;E BROADWAY;1;37;"{""type"": ""Point"", ""coordinates"": [-123.07869297, 49.26268242]}";Mount Pleasant
Broadway Terrace Development Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1530&street=E%20BROADWAY;1530;E BROADWAY;5;5;"{""type"": ""Point"", ""coordinates"": [-123.07302189, 49.26202774]}";Kensington-Cedar Cottage
0907682 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1383&street=E%20BROADWAY;1383;E BROADWAY;3;30;"{""type"": ""Point"", ""coordinates"": [-123.07579922, 49.26266414]}";Grandview-Woodland
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=100&street=E%20CORDOVA%20STREET;100;E CORDOVA STREET;1;48;"{""type"": ""Point"", ""coordinates"": [-123.1019758, 49.28207009]}";Downtown
Raincity Housing And Support Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=512&street=E%20CORDOVA%20STREET;512;E CORDOVA STREET;3;24;"{""type"": ""Point"", ""coordinates"": [-123.09301216, 49.28189653]}";Strathcona
Southwood Ventures Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=50&street=E%20CORDOVA%20STREET;50;E CORDOVA STREET;1;39;"{""type"": ""Point"", ""coordinates"": [-123.10305901, 49.28215237]}";Downtown
The Bloom Group Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=368&street=E%20CORDOVA%20STREET;368;E CORDOVA STREET;1;66;"{""type"": ""Point"", ""coordinates"": [-123.09614857, 49.28195691]}";Strathcona
679 East Cordova Street Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=679&street=E%20CORDOVA%20STREET;679;E CORDOVA STREET;1;12;"{""type"": ""Point"", ""coordinates"": [-123.08971424, 49.28235112]}";Strathcona
634 East Georgia Street Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=634&street=E%20GEORGIA%20STREET;634;E GEORGIA STREET;21;26;"{""type"": ""Point"", ""coordinates"": [-123.09081071, 49.27813499]}";Strathcona
249 East Georgia Street Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=249&street=E%20GEORGIA%20STREET;249;E GEORGIA STREET;6;18;"{""type"": ""Point"", ""coordinates"": [-123.09800036, 49.27878965]}";Strathcona
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=208&street=E%20GEORGIA%20STREET;208;E GEORGIA STREET;7;73;"{""type"": ""Point"", ""coordinates"": [-123.09932147, 49.27839536]}";Strathcona
Yee Fung Toy Society of Canada;http://app.vancouver.ca/RPS_Net/Default.aspx?num=224&street=E%20GEORGIA%20STREET;224;E GEORGIA STREET;2;12;"{""type"": ""Point"", ""coordinates"": [-123.09875289, 49.27829156]}";Strathcona
245 E Georgia Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=245&street=E%20GEORGIA%20STREET;245;E GEORGIA STREET;1;40;"{""type"": ""Point"", ""coordinates"": [-123.09809645, 49.27879217]}";Strathcona
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=177&street=E%20HASTINGS%20STREET;177;E HASTINGS STREET;2;81;"{""type"": ""Point"", ""coordinates"": [-123.10049774, 49.28165623]}";Downtown
BC Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=344&street=E%20HASTINGS%20STREET;344;E HASTINGS STREET;21;113;"{""type"": ""Point"", ""coordinates"": [-123.09638402, 49.28095418]}";Strathcona
Kam Y Loh & Merrilee I Loh;http://app.vancouver.ca/RPS_Net/Default.aspx?num=437&street=E%20HASTINGS%20STREET;437;E HASTINGS STREET;3;12;"{""type"": ""Point"", ""coordinates"": [-123.09436786, 49.28153156]}";Strathcona
;http://app.vancouver.ca/RPS_Net/Default.aspx?num=159&street=E%20HASTINGS%20STREET;159;E HASTINGS STREET;9;;"{""type"": ""Point"", ""coordinates"": [-123.10081977, 49.28166287]}";Downtown
Guo Zhu & Shiao Bing Wu;http://app.vancouver.ca/RPS_Net/Default.aspx?num=249&street=E%20HASTINGS%20STREET;249;E HASTINGS STREET;2;39;"{""type"": ""Point"", ""coordinates"": [-123.0983951, 49.28160462]}";Strathcona
338186 BC Limited;http://app.vancouver.ca/RPS_Net/Default.aspx?num=403&street=E%20HASTINGS%20STREET;403;E HASTINGS STREET;1;195;"{""type"": ""Point"", ""coordinates"": [-123.09499268, 49.28154319]}";Strathcona
Pepple Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=561&street=E%20HASTINGS%20STREET;561;E HASTINGS STREET;4;54;"{""type"": ""Point"", ""coordinates"": [-123.09199723, 49.28148942]}";Strathcona
643838 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=684&street=E%20HASTINGS%20STREET;684;E HASTINGS STREET;2;16;"{""type"": ""Point"", ""coordinates"": [-123.08997496, 49.28084014]}";Strathcona
Kathed Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3570&street=E%20HASTINGS%20STREET;3570;E HASTINGS STREET;2;14;"{""type"": ""Point"", ""coordinates"": [-123.02682211, 49.28085294]}";Hastings-Sunrise
Zarshi Investments Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8&street=E%20HASTINGS%20STREET;8;E HASTINGS STREET;1;5;"{""type"": ""Point"", ""coordinates"": [-123.10404165, 49.28111028]}";Downtown
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=258&street=E%20HASTINGS%20STREET;258;E HASTINGS STREET;11;26;"{""type"": ""Point"", ""coordinates"": [-123.09821929, 49.2809366]}";Strathcona
Summer Hotel Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=341&street=E%20HASTINGS%20STREET;341;E HASTINGS STREET;20;26;"{""type"": ""Point"", ""coordinates"": [-123.09652869, 49.28157203]}";Strathcona
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=456&street=E%20HASTINGS%20STREET;456;E HASTINGS STREET;17;52;"{""type"": ""Point"", ""coordinates"": [-123.09418189, 49.28091634]}";Strathcona
Shon Yee Benevelent Assn Of Canada;http://app.vancouver.ca/RPS_Net/Default.aspx?num=504&street=E%20HASTINGS%20STREET;504;E HASTINGS STREET;1;45;"{""type"": ""Point"", ""coordinates"": [-123.09326163, 49.28090253]}";Strathcona
Vernon Apartments Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1168&street=E%20HASTINGS%20STREET;1168;E HASTINGS STREET;8;32;"{""type"": ""Point"", ""coordinates"": [-123.07973329, 49.28067964]}";Strathcona
Community Builders Benevolence Foundation (2013);http://app.vancouver.ca/RPS_Net/Default.aspx?num=3475&street=E%20HASTINGS%20STREET;3475;E HASTINGS STREET;1;59;"{""type"": ""Point"", ""coordinates"": [-123.02933128, 49.28142124]}";Hastings-Sunrise
353806 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3683&street=E%20HASTINGS%20STREET;3683;E HASTINGS STREET;6;67;"{""type"": ""Point"", ""coordinates"": [-123.02437442, 49.28138793]}";Hastings-Sunrise
Affordable Housing Charitable Association;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1788&street=E%20KENT%20AVENUE%20SOUTH;1788;E KENT AVENUE SOUTH;2;42;"{""type"": ""Point"", ""coordinates"": [-123.06946548, 49.20783398]}";Victoria-Fraserview
0813069 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=100&street=E%20PENDER%20STREET;100;E PENDER STREET;1;45;"{""type"": ""Point"", ""coordinates"": [-123.10214374, 49.28017155]}";Downtown
Mau Dan Gardens Co-Op Housing Association;http://app.vancouver.ca/RPS_Net/Default.aspx?num=350&street=E%20PENDER%20STREET;350;E PENDER STREET;1;52;"{""type"": ""Point"", ""coordinates"": [-123.0957684, 49.27984549]}";Strathcona
Bernhard Nachtwey;http://app.vancouver.ca/RPS_Net/Default.aspx?num=826&street=E%20PENDER%20STREET;826;E PENDER STREET;5;6;"{""type"": ""Point"", ""coordinates"": [-123.08651387, 49.27986783]}";Strathcona
Association of United Ukranian Canadians;http://app.vancouver.ca/RPS_Net/Default.aspx?num=827&street=E%20PENDER%20STREET;827;E PENDER STREET;1;26;"{""type"": ""Point"", ""coordinates"": [-123.08649623, 49.28038687]}";Strathcona
Bloomsbury Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1880&street=E%20PENDER%20STREET;1880;E PENDER STREET;11;50;"{""type"": ""Point"", ""coordinates"": [-123.06645519, 49.27996582]}";Grandview-Woodland
Yue Shan Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=33&street=E%20PENDER%20STREET;33;E PENDER STREET;1;14;"{""type"": ""Point"", ""coordinates"": [-123.10332792, 49.2807021]}";Downtown
Mah Society of Canada;http://app.vancouver.ca/RPS_Net/Default.aspx?num=139&street=E%20PENDER%20STREET;139;E PENDER STREET;5;34;"{""type"": ""Point"", ""coordinates"": [-123.10096634, 49.28066328]}";Downtown
Vancouver Chinatown Foundation For Community Revitalization;http://app.vancouver.ca/RPS_Net/Default.aspx?num=258&street=E%20PENDER%20STREET;258;E PENDER STREET;9;120;"{""type"": ""Point"", ""coordinates"": [-123.0981439, 49.28009111]}";Strathcona
Lew Mow Wai Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=349&street=E%20PENDER%20STREET;349;E PENDER STREET;1;9;"{""type"": ""Point"", ""coordinates"": [-123.09594415, 49.28055794]}";Strathcona
1510 East Pender Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1510&street=E%20PENDER%20STREET;1510;E PENDER STREET;2;6;"{""type"": ""Point"", ""coordinates"": [-123.07390242, 49.28006118]}";Grandview-Woodland
P D A Capital Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2150&street=E%20PENDER%20STREET;2150;E PENDER STREET;3;6;"{""type"": ""Point"", ""coordinates"": [-123.06067053, 49.28000531]}";Grandview-Woodland
Salvatore Cois;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1851&street=E%20PENDER%20STREET;1851;E PENDER STREET;7;20;"{""type"": ""Point"", ""coordinates"": [-123.06665102, 49.28048517]}";Grandview-Woodland
Jasmine Investments (1994) Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2212&street=ETON%20STREET;2212;ETON STREET;2;10;"{""type"": ""Point"", ""coordinates"": [-123.0592061, 49.28725418]}";Grandview-Woodland
Natasha Taylor;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3223&street=FINDLAY%20STREET;3223;FINDLAY STREET;3;12;"{""type"": ""Point"", ""coordinates"": [-123.06825456, 49.2559113]}";Kensington-Cedar Cottage
0989866 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2880&street=FIR%20STREET;2880;FIR STREET;4;8;"{""type"": ""Point"", ""coordinates"": [-123.14093018, 49.26012184]}";Fairview
Razgul Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1777&street=FRANCES%20STREET;1777;FRANCES STREET;1;59;"{""type"": ""Point"", ""coordinates"": [-123.06874996, 49.27961543]}";Grandview-Woodland
Urban Vision Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1610&street=FRANKLIN%20STREET;1610;FRANKLIN STREET;11;50;"{""type"": ""Point"", ""coordinates"": [-123.07228357, 49.28200606]}";Grandview-Woodland
Vancouver Native Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1719&street=FRANKLIN%20STREET;1719;FRANKLIN STREET;10;32;"{""type"": ""Point"", ""coordinates"": [-123.06979076, 49.28242758]}";Grandview-Woodland
1111874 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2121&street=FRANKLIN%20STREET;2121;FRANKLIN STREET;2;50;"{""type"": ""Point"", ""coordinates"": [-123.06106182, 49.28235889]}";Grandview-Woodland
0790462 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5760&street=FRASER%20STREET;5760;FRASER STREET;1;5;"{""type"": ""Point"", ""coordinates"": [-123.09016753, 49.23226362]}";Sunset
The John Howard Society of the Lower Mainland of BC;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3350&street=FRASER%20STREET;3350;FRASER STREET;3;8;"{""type"": ""Point"", ""coordinates"": [-123.08947179, 49.25506059]}";Kensington-Cedar Cottage
6462 Fraser Developments Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=6462&street=FRASER%20STREET;6462;FRASER STREET;3;16;"{""type"": ""Point"", ""coordinates"": [-123.09037135, 49.22585984]}";Sunset
Kapoor Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=999&street=GILFORD%20STREET;999;GILFORD STREET;3;41;"{""type"": ""Point"", ""coordinates"": [-123.14011148, 49.29069167]}";West End
EMK Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1010&street=GILFORD%20STREET;1010;GILFORD STREET;1;41;"{""type"": ""Point"", ""coordinates"": [-123.14029871, 49.29005189]}";West End
Glen Drive Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2325&street=GLEN%20DRIVE;2325;GLEN DRIVE;1;10;"{""type"": ""Point"", ""coordinates"": [-123.08169527, 49.26400214]}";Mount Pleasant
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=341&street=GORE%20AVENUE;341;GORE AVENUE;2;27;"{""type"": ""Point"", ""coordinates"": [-123.09778996, 49.28159583]}";Strathcona
Fan Tower South Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=609&street=GORE%20AVENUE;609;GORE AVENUE;1;51;"{""type"": ""Point"", ""coordinates"": [-123.09742793, 49.27916523]}";Strathcona
George Fu;http://app.vancouver.ca/RPS_Net/Default.aspx?num=445&street=GORE%20AVENUE;445;GORE AVENUE;9;24;"{""type"": ""Point"", ""coordinates"": [-123.09763888, 49.28048787]}";Strathcona
Karmel Manor Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1374&street=GRANT%20STREET;1374;GRANT STREET;1;39;"{""type"": ""Point"", ""coordinates"": [-123.07602214, 49.27123139]}";Grandview-Woodland
Salvatore Cois;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1907&street=GRANT%20STREET;1907;GRANT STREET;1;5;"{""type"": ""Point"", ""coordinates"": [-123.06525658, 49.27149576]}";Grandview-Woodland
Jutta Ahmed;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1130&street=GRANVILLE%20STREET;1130;GRANVILLE STREET;5;6;"{""type"": ""Point"", ""coordinates"": [-123.12489479, 49.27762118]}";Downtown
Dranly Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2414&street=GRANVILLE%20STREET;2414;GRANVILLE STREET;1;12;"{""type"": ""Point"", ""coordinates"": [-123.13812846, 49.2642284]}";Fairview
Choo Bros Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2930&street=GRANVILLE%20STREET;2930;GRANVILLE STREET;1;6;"{""type"": ""Point"", ""coordinates"": [-123.13831253, 49.25931681]}";Fairview
1033 Granville Street Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1035&street=GRANVILLE%20STREET;1035;GRANVILLE STREET;6;8;"{""type"": ""Point"", ""coordinates"": [-123.1239798, 49.27901282]}";Downtown
Regal Eighty Management Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1046&street=GRANVILLE%20STREET;1046;GRANVILLE STREET;55;82;"{""type"": ""Point"", ""coordinates"": [-123.12339324, 49.27860382]}";Downtown
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1161&street=GRANVILLE%20STREET;1161;GRANVILLE STREET;1;93;"{""type"": ""Point"", ""coordinates"": [-123.12594954, 49.27771178]}";Downtown
Affordable Housing Advisory Association;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1515&street=GRANVILLE%20STREET;1515;GRANVILLE STREET;8;84;"{""type"": ""Point"", ""coordinates"": [-123.13159007, 49.27394656]}";Downtown
M Block Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8710&street=GRANVILLE%20STREET;8710;GRANVILLE STREET;1;14;"{""type"": ""Point"", ""coordinates"": [-123.14019174, 49.20690007]}";Marpole
Community Builders Benevolence Group;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1306&street=GRANVILLE%20STREET;1306;GRANVILLE STREET;2;43;"{""type"": ""Point"", ""coordinates"": [-123.12773475, 49.27585292]}";Downtown
Riste Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=553&street=HAMILTON%20STREET;553;HAMILTON STREET;3;28;"{""type"": ""Point"", ""coordinates"": [-123.11229837, 49.28159625]}";Downtown
Arkhu Investment Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1122&street=HARO%20STREET;1122;HARO STREET;4;84;"{""type"": ""Point"", ""coordinates"": [-123.12661468, 49.28399595]}";West End
Siddoo A K Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1655&street=HARO%20STREET;1655;HARO STREET;1;89;"{""type"": ""Point"", ""coordinates"": [-123.13387648, 49.28942888]}";West End
IMH 1755 Haro Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1755&street=HARO%20STREET;1755;HARO STREET;2;137;"{""type"": ""Point"", ""coordinates"": [-123.13554165, 49.29053218]}";West End
Vancouver Park Lane Towers Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1825&street=HARO%20STREET;1825;HARO STREET;1;89;"{""type"": ""Point"", ""coordinates"": [-123.13682734, 49.29133602]}";West End
Shelmarjay Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1629&street=HARO%20STREET;1629;HARO STREET;1;40;"{""type"": ""Point"", ""coordinates"": [-123.13367947, 49.28930049]}";West End
The Icelandic Care Home HOFN Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2020&street=HARRISON%20DRIVE;2020;HARRISON DRIVE;4;77;"{""type"": ""Point"", ""coordinates"": [-123.0639151, 49.2094]}";Victoria-Fraserview
Harwood Place Apartments Limited;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1122&street=HARWOOD%20STREET;1122;HARWOOD STREET;8;39;"{""type"": ""Point"", ""coordinates"": [-123.13429324, 49.27920733]}";West End
1534 Harwood Street (St.Pierre) Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1534&street=HARWOOD%20STREET;1534;HARWOOD STREET;1;26;"{""type"": ""Point"", ""coordinates"": [-123.14049967, 49.28322387]}";West End
James F Wong & Mary S Wong;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1225&street=HARWOOD%20STREET;1225;HARWOOD STREET;2;6;"{""type"": ""Point"", ""coordinates"": [-123.13582751, 49.28093277]}";West End
EMV Holdings Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1416&street=HARWOOD%20STREET;1416;HARWOOD STREET;2;43;"{""type"": ""Point"", ""coordinates"": [-123.13911951, 49.2823332]}";West End
1050H Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1050&street=HARWOOD%20STREET;1050;HARWOOD STREET;4;81;"{""type"": ""Point"", ""coordinates"": [-123.1328388, 49.27826545]}";West End
Manufacturer's Life Insurance Co;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1202&street=HARWOOD%20STREET;1202;HARWOOD STREET;4;90;"{""type"": ""Point"", ""coordinates"": [-123.13597208, 49.28029509]}";West End
Otrun Kneifel & Walter Kneifel;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2820&street=HEATHER%20STREET;2820;HEATHER STREET;1;20;"{""type"": ""Point"", ""coordinates"": [-123.11974713, 49.26017973]}";Fairview
Fairbridge Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8666&street=HEATHER%20STREET;8666;HEATHER STREET;5;23;"{""type"": ""Point"", ""coordinates"": [-123.12385254, 49.20771083]}";Marpole
Netty Prosterman;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8575&street=HEATHER%20STREET;8575;HEATHER STREET;2;21;"{""type"": ""Point"", ""coordinates"": [-123.1248658, 49.20861461]}";Marpole
209 Heatley Avenue Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=209&street=HEATLEY%20AVENUE;209;HEATLEY AVENUE;2;10;"{""type"": ""Point"", ""coordinates"": [-123.08977891, 49.28272714]}";Strathcona
Brightside Community Homes Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2975&street=HORLEY%20STREET;2975;HORLEY STREET;2;34;"{""type"": ""Point"", ""coordinates"": [-123.04413053, 49.23966521]}";Renfrew-Collingwood
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1119&street=HORNBY%20STREET;1119;HORNBY STREET;130;87;;
Vancouver Jewish Building Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1260&street=HOWE%20STREET;1260;HOWE STREET;4;65;"{""type"": ""Point"", ""coordinates"": [-123.12780759, 49.2770125]}";Downtown
Beng Kim Yeung (Beng Yeung);http://app.vancouver.ca/RPS_Net/Default.aspx?num=8619&street=HUDSON%20STREET;8619;HUDSON STREET;2;10;"{""type"": ""Point"", ""coordinates"": [-123.1350487, 49.20829758]}";Marpole
Sik Ging Huie (Sik-Ging Huie);http://app.vancouver.ca/RPS_Net/Default.aspx?num=306&street=JACKSON%20AVENUE;306;JACKSON AVENUE;1;36;"{""type"": ""Point"", ""coordinates"": [-123.09317028, 49.28189685]}";Strathcona
Whistler Valley Construction Corp Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=830&street=JACKSON%20AVENUE;830;JACKSON AVENUE;5;11;"{""type"": ""Point"", ""coordinates"": [-123.09345978, 49.27689726]}";Strathcona
EMV Holdings Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=950&street=JERVIS%20STREET;950;JERVIS STREET;4;41;"{""type"": ""Point"", ""coordinates"": [-123.13021598, 49.28566322]}";West End
S A H Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=610&street=JERVIS%20STREET;610;JERVIS STREET;1;50;"{""type"": ""Point"", ""coordinates"": [-123.12584381, 49.28854661]}";Downtown
IMH 1005 Jervis Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1005&street=JERVIS%20STREET;1005;JERVIS STREET;5;136;"{""type"": ""Point"", ""coordinates"": [-123.13244789, 49.28496308]}";West End
Aquaterra Management Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1150&street=JERVIS%20STREET;1150;JERVIS STREET;7;216;"{""type"": ""Point"", ""coordinates"": [-123.13388422, 49.28247471]}";West End
Green Power Real Estate Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5187&street=JOYCE%20STREET;5187;JOYCE STREET;2;5;"{""type"": ""Point"", ""coordinates"": [-123.03273733, 49.23774453]}";Renfrew-Collingwood
Kenneth Sam;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2582&street=KINGSWAY;2582;KINGSWAY;1;5;"{""type"": ""Point"", ""coordinates"": [-123.05268196, 49.23905631]}";Renfrew-Collingwood
Song Xanh Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1265&street=KINGSWAY;1265;KINGSWAY;1;6;"{""type"": ""Point"", ""coordinates"": [-123.07855207, 49.25179464]}";Kensington-Cedar Cottage
Superior Holdings Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2535&street=KINGSWAY;2535;KINGSWAY;2;10;"{""type"": ""Point"", ""coordinates"": [-123.0532568, 49.23999952]}";Renfrew-Collingwood
City of Vancouver;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3484&street=KINGSWAY;3484;KINGSWAY;7;123;"{""type"": ""Point"", ""coordinates"": [-123.03124616, 49.23140021]}";Killarney
