BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area
GMH 1203 Broughton Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1203&street=BROUGHTON%20STREET;1203;BROUGHTON STREET;1;40;"{""type"": ""Point"", ""coordinates"": [-123.13679531, 49.28361279]}";West End
Arthur M Hayes (Arthur Hayes);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1315&street=BROUGHTON%20STREET;1315;BROUGHTON STREET;1;35;"{""type"": ""Point"", ""coordinates"": [-123.1383598, 49.28258776]}";West End
The Vancouver Broadway Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=650&street=BUCKETWHEEL;650;BUCKETWHEEL;2;45;"{""type"": ""Point"", ""coordinates"": [-123.11818965, 49.26769092]}";Fairview
FZN Burnaby Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1630&street=BURNABY%20STREET;1630;BURNABY STREET;2;21;"{""type"": ""Point"", ""coordinates"": [-123.14061254, 49.28469039]}";West End
John Rusko & Regina Rusko & Robert Rusko;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1141&street=BURNABY%20STREET;1141;BURNABY STREET;5;40;"{""type"": ""Point"", ""coordinates"": [-123.13297953, 49.28049511]}";West End
Paul Y Mansion (Paul Mansion);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1150&street=BURNABY%20STREET;1150;BURNABY STREET;10;176;"{""type"": ""Point"", ""coordinates"": [-123.13413389, 49.28049467]}";West End
1537 Burnaby Street Nominee Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1537&street=BURNABY%20STREET;1537;BURNABY STREET;4;23;"{""type"": ""Point"", ""coordinates"": [-123.13886721, 49.28431198]}";West End
Arthur M Hayes (Arthur Hayes);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1176&street=BURNABY%20STREET;1176;BURNABY STREET;8;41;"{""type"": ""Point"", ""coordinates"": [-123.13433156, 49.28062353]}";West End
Vanca Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1365&street=BURNABY%20STREET;1365;BURNABY STREET;3;8;"{""type"": ""Point"", ""coordinates"": [-123.13667519, 49.28289917]}";West End
Belmont Bute 990 Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=990&street=BUTE%20STREET;990;BUTE STREET;1;36;"{""type"": ""Point"", ""coordinates"": [-123.12970105, 49.28394886]}";West End
Huntly Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=601&street=BUTE%20STREET;601;BUTE STREET;4;23;"{""type"": ""Point"", ""coordinates"": [-123.12466408, 49.28778196]}";Downtown
Hsus Enterprises Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1250&street=BUTE%20STREET;1250;BUTE STREET;5;80;"{""type"": ""Point"", ""coordinates"": [-123.13395515, 49.28113396]}";West End
Shoyle Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3725&street=CAMBIE%20STREET;3725;CAMBIE STREET;1;11;"{""type"": ""Point"", ""coordinates"": [-123.11574693, 49.25195822]}";South Cambie
419374 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3885&street=CAMBIE%20STREET;3885;CAMBIE STREET;1;11;"{""type"": ""Point"", ""coordinates"": [-123.11581669, 49.25067005]}";South Cambie
Brian Irving Swartz (Brian Swartz);http://app.vancouver.ca/RPS_Net/Default.aspx?num=322&street=CAMBIE%20STREET;322;CAMBIE STREET;2;9;"{""type"": ""Point"", ""coordinates"": [-123.10916395, 49.28291218]}";Downtown
Danny's Inn Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=317&street=CAMBIE%20STREET;317;CAMBIE STREET;2;18;"{""type"": ""Point"", ""coordinates"": [-123.109504, 49.28323298]}";Downtown
Jack Eng & Edna May Eng & Andrea Eng;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3836&street=CAMBIE%20STREET;3836;CAMBIE STREET;3;5;"{""type"": ""Point"", ""coordinates"": [-123.11491764, 49.250796]}";Riley Park
Victor Wong & Robetti Wong;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2250&street=CAMBRIDGE%20STREET;2250;CAMBRIDGE STREET;2;23;"{""type"": ""Point"", ""coordinates"": [-123.05860408, 49.28634867]}";Grandview-Woodland
Polo Hotel Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=425&street=CAMPBELL%20AVENUE;425;CAMPBELL AVENUE;4;20;"{""type"": ""Point"", ""coordinates"": [-123.08507538, 49.2804689]}";Strathcona
Derik Ventures Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=843&street=CARDERO%20STREET;843;CARDERO STREET;2;39;"{""type"": ""Point"", ""coordinates"": [-123.13328409, 49.28904188]}";West End
Broadway Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1220&street=CARDERO%20STREET;1220;CARDERO STREET;1;70;"{""type"": ""Point"", ""coordinates"": [-123.13870249, 49.28484559]}";West End
331750 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1225&street=CARDERO%20STREET;1225;CARDERO STREET;4;169;"{""type"": ""Point"", ""coordinates"": [-123.13957785, 49.2854097]}";West End
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=309&street=CARRALL%20STREET;309;CARRALL STREET;3;41;"{""type"": ""Point"", ""coordinates"": [-123.10460555, 49.28223732]}";Downtown
Silver Star Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8667&street=CARTIER%20STREET;8667;CARTIER STREET;1;13;"{""type"": ""Point"", ""coordinates"": [-123.13813534, 49.20773423]}";Marpole
Gerda H Fandrich & Helmut E Fandrich;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8632&street=CARTIER%20STREET;8632;CARTIER STREET;4;10;"{""type"": ""Point"", ""coordinates"": [-123.13726576, 49.20812973]}";Marpole
Grandwood Development Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5487&street=CECIL%20STREET;5487;CECIL STREET;2;19;"{""type"": ""Point"", ""coordinates"": [-123.03692411, 49.23501865]}";Renfrew-Collingwood
Hyung Moon Kim (Hyung Kim);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1708&street=CHARLES%20STREET;1708;CHARLES STREET;2;14;"{""type"": ""Point"", ""coordinates"": [-123.06917565, 49.27289892]}";Grandview-Woodland
EMV Holdings Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=930&street=CHILCO%20STREET;930;CHILCO STREET;1;29;"{""type"": ""Point"", ""coordinates"": [-123.1400431, 49.29202753]}";West End
Armando Ferreira;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2308&street=CLARK%20DRIVE;2308;CLARK DRIVE;3;5;"{""type"": ""Point"", ""coordinates"": [-123.07708649, 49.26404447]}";Grandview-Woodland
Persepolis Investments Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=351&street=COLUMBIA%20STREET;351;COLUMBIA STREET;3;27;"{""type"": ""Point"", ""coordinates"": [-123.1024617, 49.2816793]}";Downtown
